question_set_id,set_version,question_id,question_version,default_order,priority,required_for_completion,required_for_result,minimum_category_coverage,active
initial_assessment,1,q_baseline_natural_pace_001,1,1,100,false,false,false,true
initial_assessment,1,q_baseline_energy_pattern_001,1,2,100,false,false,false,true
initial_assessment,1,q_baseline_routine_preference_001,1,3,100,false,false,false,true
initial_assessment,1,q_baseline_decision_style_001,1,4,100,false,false,false,true
initial_assessment,1,q_baseline_learning_style_001,1,5,100,false,false,false,true
initial_assessment,1,q_baseline_long_term_memory_001,1,6,100,false,false,false,true
initial_assessment,1,q_baseline_physical_endurance_001,1,7,100,false,false,false,true
initial_assessment,1,q_baseline_body_frame_001,1,8,100,false,false,false,true
initial_assessment,1,q_baseline_weight_tendency_001,1,9,100,false,false,false,true
initial_assessment,1,q_baseline_skin_tendency_001,1,10,100,false,false,false,true
initial_assessment,1,q_baseline_temperature_tolerance_001,1,11,100,false,false,false,true
initial_assessment,1,q_baseline_sweating_tendency_001,1,12,100,false,false,false,true
initial_assessment,1,q_baseline_appetite_001,1,13,100,false,false,false,true
initial_assessment,1,q_baseline_delayed_meals_001,1,14,100,false,false,false,true
initial_assessment,1,q_baseline_digestion_001,1,15,100,false,false,false,true
initial_assessment,1,q_baseline_bowel_pattern_001,1,16,100,false,false,false,true
initial_assessment,1,q_baseline_sleep_pattern_001,1,17,100,false,false,false,true
initial_assessment,1,q_baseline_speaking_style_001,1,18,100,false,false,false,true
initial_assessment,1,q_baseline_stress_response_001,1,19,100,false,false,false,true
initial_assessment,1,q_current_sleep_001,1,20,100,false,false,false,true
initial_assessment,1,q_current_appetite_001,1,21,100,false,false,false,true
initial_assessment,1,q_current_digestion_001,1,22,100,false,false,false,true
initial_assessment,1,q_current_energy_001,1,23,100,false,false,false,true
initial_assessment,1,q_current_stress_response_001,1,24,100,false,false,false,true
initial_assessment,1,q_current_routine_001,1,25,100,false,false,false,true
initial_assessment,1,q_current_body_qualities_001,1,26,100,false,false,false,true
initial_assessment,1,q_context_major_change_001,1,27,100,false,false,false,true
