answer_id,question_id,question_version,answer_version,text,default_order,answer_kind,exclusive,status,expert_notes,created_at,updated_at
a_baseline_natural_pace_001_quick_changeable_move_rapidly,q_baseline_natural_pace_001,1,1,Quick and changeable; I often move rapidly between things.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_natural_pace_001_purposeful_efficient_move_clear,q_baseline_natural_pace_001,1,1,Purposeful and efficient; I tend to move with a clear objective.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_natural_pace_001_steady_unhurried_prefer_move,q_baseline_natural_pace_001,1,1,Steady and unhurried; I prefer to move at a consistent pace.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_natural_pace_001_unsure_or_none_fit,q_baseline_natural_pace_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_energy_comes_bursts_change,q_baseline_energy_pattern_001,1,1,My energy comes in bursts and can change quickly.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_energy_strong_focused_but,q_baseline_energy_pattern_001,1,1,"My energy is strong and focused, but I may push too hard.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_energy_builds_gradually_last,q_baseline_energy_pattern_001,1,1,My energy builds gradually and tends to last once I get going.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_unsure_or_none_fit,q_baseline_energy_pattern_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_enjoy_variety_but_routines,q_baseline_routine_preference_001,1,1,"I enjoy variety, but my routines can be inconsistent.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_like_organized_routines_help,q_baseline_routine_preference_001,1,1,I like organized routines that help me accomplish goals.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_prefer_familiar_dependable_routines,q_baseline_routine_preference_001,1,1,"I prefer familiar, dependable routines and dislike sudden changes.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_unsure_or_none_fit,q_baseline_routine_preference_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_decision_style_001_decide_quickly_but_change,q_baseline_decision_style_001,1,1,I decide quickly but may change my mind afterward.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_decision_style_001_evaluate_options_make_firm,q_baseline_decision_style_001,1,1,I evaluate the options and make a firm decision.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
