question_id,question_version,slug,text,help_text,assessment_type,category,response_type,time_window,expires_after_days,repeat_after_days,skippable,sensitive,randomize_answers,status,expert_reviewer,approved_at,expert_notes,created_at,updated_at
q_baseline_natural_pace_001,1,natural-pace,How would you describe your natural pace when moving through everyday activities?,,baseline,movement_pace,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_energy_pattern_001,1,usual-energy-pattern,Which description best matches your usual energy pattern?,,baseline,energy,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_routine_preference_001,1,routine-preference,What is your natural relationship with routine?,,baseline,routine,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_decision_style_001,1,decision-making-style,How do you generally make everyday decisions?,,baseline,decision_style,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_learning_style_001,1,learning-new-information,"When learning something new, which pattern fits you best?",,baseline,learning,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_long_term_memory_001,1,long-term-memory,How would you describe your memory over time?,,baseline,memory,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_physical_endurance_001,1,physical-endurance,"During physical activity, what is your usual endurance pattern?",,baseline,endurance,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_body_frame_001,1,natural-body-frame,"Before major changes in weight, fitness, illness, or lifestyle, how would you describe your natural body frame?",,baseline,body_frame,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_weight_tendency_001,1,weight-tendency,"Throughout most of your adult life, what has been your natural tendency with weight?",,baseline,weight_tendency,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_skin_tendency_001,1,skin-tendency,"When your skin is in its usual state, which description fits best?",,baseline,skin,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_temperature_tolerance_001,1,temperature-tolerance,Which type of weather or temperature is naturally hardest for you?,,baseline,temperature_tolerance,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
